latent_id,a,x,split
235,3,9,test
236,3,10,train
237,3,11,test
238,3,12,test
239,3,13,test
240,3,14,train
241,3,15,test
242,3,16,train
243,3,17,test
244,3,18,train
245,3,19,train
246,3,20,train
247,3,21,test
248,3,22,train
249,3,23,train
250,3,24,train
251,3,25,test
252,3,26,test
253,3,27,train
254,3,28,train
255,3,29,test
256,3,30,test
257,3,31,test
258,3,32,test
259,3,33,test
260,3,34,test
261,3,35,train
262,3,36,test
263,3,37,train
264,3,38,test
265,3,39,test
266,3,40,test
267,3,41,test
268,3,42,test
269,3,43,test
270,3,44,train
271,3,45,test
272,3,46,test
273,3,47,test
274,3,48,test
275,3,49,test
276,3,50,train
277,3,51,train
278,3,52,test
279,3,53,train
280,3,54,test
281,3,55,train
282,3,56,test
283,3,57,test
284,3,58,test
285,3,59,test
286,3,60,train
287,3,61,test
288,3,62,train
289,3,63,test
290,3,64,train
291,3,65,test
292,3,66,test
293,3,67,test
294,3,68,test
295,3,69,test
296,3,70,train
297,3,71,train
298,3,72,test
299,3,73,test
300,3,74,test
301,3,75,train
302,3,76,test
303,3,77,test
304,3,78,train
305,3,79,train
306,3,80,test
307,3,81,test
308,3,82,test
309,3,83,test
310,3,84,test
311,3,85,test
312,3,86,train
313,3,87,test
314,3,88,train
315,3,89,test
316,3,90,train
317,3,91,test
318,3,92,train
319,3,93,test
320,3,94,test
321,3,95,test
322,3,96,test
323,3,97,test
324,3,98,train
325,3,99,test
326,3,100,test
327,3,101,test
328,3,102,test
329,3,103,train
330,3,104,train
331,3,105,test
332,3,106,test
333,3,107,test
334,3,108,test
335,3,109,train
336,3,110,test
337,3,111,test
338,3,112,train
339,4,0,test
340,4,1,train
341,4,2,test
342,4,3,test
343,4,4,test
344,4,5,test
345,4,6,test
346,4,7,test
347,4,8,test
348,4,9,test
349,4,10,test
350,4,11,test
351,4,12,train
352,4,13,train
353,4,14,test
354,4,15,test
355,4,16,test
356,4,17,test
357,4,18,test
358,4,19,test
359,4,20,test
360,4,21,test
361,4,22,train
362,4,23,test
363,4,24,train
364,4,25,test
365,4,26,train
366,4,27,train
367,4,28,test
368,4,29,train
369,4,30,test
370,4,31,test
371,4,32,train
372,4,33,test
373,4,34,test
374,4,35,train
375,4,36,test
376,4,37,train
377,4,38,test
378,4,39,train
379,4,40,test
380,4,41,test
381,4,42,train
382,4,43,train
383,4,44,train
384,4,45,test
385,4,46,train
386,4,47,train
387,4,48,test
388,4,49,train
389,4,50,test
390,4,51,test
391,4,52,test
392,4,53,train
393,4,54,train
394,4,55,train
395,4,56,train
396,4,57,train
397,4,58,test
398,4,59,train
399,4,60,test
400,4,61,test
401,4,62,test
402,4,63,test
403,4,64,test
404,4,65,train
405,4,66,train
406,4,67,test
407,4,68,train
408,4,69,train
409,4,70,test
410,4,71,test
411,4,72,test
412,4,73,train
413,4,74,test
414,4,75,train
415,4,76,test
416,4,77,test
417,4,78,test
418,4,79,train
419,4,80,train
420,4,81,test
421,4,82,test
422,4,83,test
423,4,84,test
424,4,85,test
425,4,86,train
426,4,87,test
427,4,88,test
428,4,89,train
429,4,90,test
430,4,91,test
431,4,92,train
432,4,93,test
433,4,94,test
434,4,95,test
435,4,96,test
436,4,97,test
437,4,98,test
438,4,99,train
439,4,100,test
440,4,101,test
441,4,102,test
442,4,103,test
443,4,104,test
444,4,105,test
445,4,106,test
446,4,107,test
447,4,108,train
448,4,109,train
449,4,110,test
450,4,111,test
451,4,112,test
452,5,0,test
453,5,1,test
454,5,2,train
455,5,3,train
456,5,4,test
457,5,5,train
458,5,6,test
459,5,7,test
460,5,8,train
461,5,9,test
462,5,10,test
463,5,11,test
464,5,12,test
465,5,13,test
466,5,14,train
467,5,15,train
468,5,16,train
469,5,17,train
470,5,18,test
471,5,19,train
472,5,20,test
473,5,21,train
474,5,22,test
475,5,23,test
476,5,24,test
477,5,25,test
478,5,26,test
479,5,27,test
480,5,28,test
481,5,29,train
482,5,30,train
483,5,31,test
484,5,32,train
485,5,33,test
486,5,34,train
487,5,35,train
488,5,36,test
489,5,37,test
490,5,38,test
491,5,39,test
492,5,40,test
493,5,41,train
494,5,42,test
495,5,43,train
496,5,44,test
497,5,45,test
498,5,46,train
499,5,47,test
500,5,48,test
501,5,49,train
502,5,50,test
503,5,51,test
504,5,52,train
505,5,53,test
506,5,54,train
507,5,55,test
508,5,56,test
509,5,57,test
510,5,58,test
511,5,59,test
512,5,60,train
513,5,61,train
514,5,62,test
515,5,63,test
516,5,64,test
517,5,65,test
518,5,66,test
519,5,67,test
520,5,68,test
521,5,69,train
522,5,70,test
523,5,71,test
524,5,72,test
525,5,73,test
526,5,74,train
527,5,75,test
528,5,76,test
529,5,77,train
530,5,78,test
531,5,79,test
532,5,80,test
533,5,81,train
534,5,82,test
535,5,83,test
536,5,84,test
537,5,85,test
538,5,86,train
539,5,87,test
540,5,88,train
541,5,89,test
542,5,90,test
543,5,91,train
544,5,92,train
545,5,93,test
546,5,94,test
547,5,95,test
548,5,96,test
549,5,97,train
550,5,98,test
551,5,99,test
552,5,100,train
553,5,101,test
554,5,102,test
555,5,103,test
556,5,104,test
557,5,105,test
558,5,106,test
559,5,107,test
560,5,108,test
561,5,109,train
562,5,110,test
563,5,111,test
564,5,112,test
565,6,0,train
566,6,1,train
567,6,2,test
568,6,3,test
569,6,4,train
570,6,5,test
571,6,6,test
572,6,7,train
573,6,8,train
574,6,9,test
575,6,10,test
576,6,11,test
577,6,12,test
578,6,13,test
579,6,14,test
580,6,15,test
581,6,16,test
582,6,17,train
583,6,18,test
584,6,19,test
585,6,20,train
586,6,21,test
587,6,22,test
588,6,23,test
589,6,24,train
590,6,25,test
591,6,26,train
592,6,27,test
593,6,28,test
594,6,29,test
595,6,30,test
596,6,31,train
597,6,32,test
598,6,33,train
599,6,34,test
600,6,35,test
601,6,36,test
602,6,37,test
603,6,38,train
604,6,39,train
605,6,40,test
606,6,41,test
607,6,42,train
608,6,43,train
609,6,44,test
610,6,45,test
611,6,46,test
612,6,47,test
613,6,48,test
614,6,49,train
615,6,50,train
616,6,51,test
617,6,52,test
618,6,53,test
619,6,54,train
620,6,55,test
621,6,56,test
622,6,57,test
623,6,58,train
624,6,59,train
625,6,60,test
626,6,61,test
627,6,62,test
628,6,63,test
629,6,64,test
630,6,65,test
631,6,66,test
632,6,67,test
633,6,68,train
634,6,69,test
635,6,70,test
636,6,71,test
637,6,72,test
638,6,73,test
639,6,74,test
640,6,75,test
641,6,76,test
642,6,77,test
643,6,78,test
644,6,79,train
645,6,80,test
646,6,81,test
647,6,82,test
648,6,83,test
649,6,84,train
650,6,85,test
651,6,86,test
652,6,87,test
653,6,88,test
654,6,89,train
655,6,90,test
656,6,91,test
657,6,92,test
658,6,93,train
659,6,94,test
660,6,95,test
661,6,96,test
662,6,97,train
663,6,98,test
664,6,99,train
665,6,100,train
666,6,101,train
667,6,102,train
668,6,103,train
669,6,104,train
670,6,105,train
671,6,106,test
672,6,107,test
673,6,108,test
674,6,109,test
675,6,110,test
676,6,111,test
677,6,112,train
678,7,0,train
679,7,1,train
680,7,2,test
681,7,3,test
682,7,4,train
683,7,5,train
684,7,6,test
685,7,7,test
686,7,8,test
687,7,9,train
688,7,10,train
689,7,11,test
690,7,12,test
691,7,13,test
692,7,14,train
693,7,15,test
694,7,16,train
695,7,17,test
696,7,18,test
697,7,19,test
698,7,20,test
699,7,21,test
700,7,22,train
701,7,23,train
702,7,24,test
703,7,25,train
704,7,26,train
705,7,27,test
706,7,28,train
707,7,29,test
708,7,30,test
709,7,31,train
710,7,32,test
711,7,33,test
712,7,34,train
713,7,35,test
714,7,36,train
715,7,37,test
716,7,38,test
717,7,39,test
718,7,40,test
719,7,41,test
720,7,42,test
721,7,43,test
722,7,44,test
723,7,45,train
724,7,46,test
725,7,47,test
726,7,48,test
727,7,49,test
728,7,50,train
729,7,51,train
730,7,52,test
731,7,53,test
732,7,54,test
733,7,55,test
734,7,56,train
735,7,57,train
736,7,58,train
737,7,59,test
738,7,60,test
739,7,61,train
740,7,62,test
741,7,63,test
742,7,64,test
743,7,65,test
744,7,66,test
745,7,67,test
746,7,68,test
747,7,69,test
748,7,70,test
749,7,71,test
750,7,72,test
751,7,73,test
752,7,74,test
753,7,75,test
754,7,76,train
755,7,77,train
756,7,78,train
757,7,79,test
758,7,80,test
759,7,81,train
760,7,82,train
761,7,83,test
762,7,84,test
763,7,85,test
764,7,86,train
765,7,87,train
766,7,88,train
767,7,89,train
768,7,90,test
769,7,91,test
770,7,92,train
771,7,93,test
772,7,94,test
773,7,95,train
774,7,96,test
775,7,97,train
776,7,98,test
777,7,99,train
778,7,100,train
779,7,101,train
780,7,102,train
781,7,103,test
782,7,104,test
783,7,105,test
784,7,106,train
785,7,107,test
786,7,108,test
787,7,109,train
788,7,110,test
789,7,111,test
790,7,112,test
791,8,0,train
792,8,1,train
793,8,2,test
794,8,3,test
795,8,4,test
796,8,5,test
797,8,6,test
798,8,7,train
799,8,8,test
800,8,9,test
801,8,10,train
802,8,11,test
803,8,12,test
804,8,13,test
805,8,14,test
806,8,15,train
807,8,16,test
808,8,17,test
809,8,18,train
810,8,19,test
811,8,20,test
812,8,21,test
813,8,22,test
814,8,23,train
815,8,24,test
816,8,25,train
817,8,26,train
818,8,27,test
819,8,28,test
820,8,29,test
821,8,30,test
822,8,31,test
823,8,32,test
824,8,33,test
825,8,34,test
826,8,35,train
827,8,36,test
828,8,37,test
829,8,38,test
830,8,39,train
831,8,40,test
832,8,41,test
833,8,42,test
834,8,43,train
835,8,44,train
836,8,45,train
837,8,46,test
838,8,47,test
839,8,48,test
840,8,49,train
841,8,50,test
842,8,51,test
843,8,52,test
844,8,53,test
845,8,54,test
846,8,55,test
847,8,56,train
848,8,57,test
849,8,58,train
850,8,59,train
851,8,60,test
852,8,61,test
853,8,62,test
854,8,63,test
855,8,64,test
856,8,65,train
857,8,66,test
858,8,67,test
859,8,68,train
860,8,69,test
861,8,70,test
862,8,71,test
863,8,72,train
864,8,73,test
865,8,74,train
866,8,75,train
867,8,76,test
868,8,77,train
869,8,78,test
870,8,79,test
871,8,80,test
872,8,81,test
873,8,82,test
874,8,83,test
875,8,84,train
876,8,85,test
877,8,86,test
878,8,87,test
879,8,88,test
880,8,89,train
881,8,90,train
882,8,91,test
883,8,92,test
884,8,93,train
885,8,94,test
886,8,95,train
887,8,96,test
888,8,97,test
889,8,98,test
890,8,99,test
891,8,100,test
892,8,101,test
893,8,102,test
894,8,103,test
895,8,104,test
896,8,105,test
897,8,106,test
898,8,107,test
899,8,108,train
900,8,109,train
901,8,110,test
902,8,111,test
903,8,112,test
904,9,0,test
905,9,1,train
906,9,2,train
907,9,3,test
908,9,4,test
909,9,5,test
910,9,6,test
911,9,7,test
912,9,8,train
913,9,9,test
914,9,10,train
915,9,11,test
916,9,12,test
917,9,13,test
918,9,14,train
919,9,15,test
920,9,16,test
921,9,17,test
922,9,18,train
923,9,19,test
924,9,20,test
925,9,21,test
926,9,22,train
927,9,23,test
928,9,24,test
929,9,25,train
930,9,26,test
931,9,27,test
932,9,28,test
933,9,29,test
934,9,30,train
935,9,31,test
936,9,32,test
937,9,33,test
938,9,34,test
939,9,35,test
940,9,36,train
941,9,37,train
942,9,38,train
943,9,39,train
944,9,40,test
945,9,41,test
946,9,42,train
947,9,43,test
948,9,44,test
949,9,45,test
950,9,46,test
951,9,47,train
952,9,48,test
953,9,49,train
954,9,50,test
955,9,51,train
956,9,52,train
957,9,53,test
958,9,54,test
959,9,55,test
960,9,56,test
961,9,57,train
962,9,58,test
963,9,59,test
964,9,60,test
965,9,61,test
966,9,62,test
967,9,63,train
968,9,64,test
969,9,65,test
970,9,66,train
971,9,67,test
972,9,68,test
973,9,69,train
974,9,70,test
975,9,71,test
976,9,72,test
977,9,73,test
978,9,74,train
979,9,75,test
980,9,76,test
981,9,77,test
982,9,78,test
983,9,79,train
984,9,80,train
985,9,81,train
986,9,82,test
987,9,83,test
988,9,84,train
989,9,85,test
990,9,86,test
991,9,87,train
992,9,88,test
993,9,89,test
994,9,90,train
995,9,91,test
996,9,92,test
997,9,93,test
998,9,94,test
999,9,95,test
1000,9,96,test
1001,9,97,train
1002,9,98,train
1003,9,99,train
1004,9,100,train
1005,9,101,test
1006,9,102,train
1007,9,103,train
1008,9,104,train
1009,9,105,test
1010,9,106,test
1011,9,107,test
1012,9,108,test
1013,9,109,test
1014,9,110,test
1015,9,111,train
1016,9,112,train
1017,10,0,test
1018,10,1,train
1019,10,2,train
1020,10,3,test
1021,10,4,train
1022,10,5,test
1023,10,6,train
1024,10,7,test
1025,10,8,test
1026,10,9,test
1027,10,10,train
1028,10,11,test
1029,10,12,test
1030,10,13,test
1031,10,14,test
1032,10,15,train
1033,10,16,test
1034,10,17,train
1035,10,18,test
1036,10,19,test
1037,10,20,test
1038,10,21,test
1039,10,22,test
1040,10,23,test
1041,10,24,test
1042,10,25,test
1043,10,26,test
1044,10,27,test
1045,10,28,test
1046,10,29,test
1047,10,30,test
1048,10,31,train
1049,10,32,test
1050,10,33,test
1051,10,34,test
1052,10,35,test
1053,10,36,train
1054,10,37,test
1055,10,38,train
1056,10,39,test
1057,10,40,train
1058,10,41,test
1059,10,42,train
1060,10,43,train
1061,10,44,train
1062,10,45,test
1063,10,46,test
1064,10,47,test
1065,10,48,test
1066,10,49,test
1067,10,50,test
1068,10,51,test
1069,10,52,test
1070,10,53,test
1071,10,54,train
1072,10,55,test
1073,10,56,train
1074,10,57,test
1075,10,58,test
1076,10,59,test
1077,10,60,test
1078,10,61,train
1079,10,62,test
1080,10,63,test
1081,10,64,test
1082,10,65,test
1083,10,66,test
1084,10,67,test
1085,10,68,test
1086,10,69,test
1087,10,70,test
1088,10,71,train
1089,10,72,train
1090,10,73,train
1091,10,74,train
1092,10,75,test
1093,10,76,train
1094,10,77,train
1095,10,78,train
1096,10,79,test
1097,10,80,test
1098,10,81,test
1099,10,82,test
1100,10,83,test
1101,10,84,test
1102,10,85,test
1103,10,86,test
1104,10,87,test
1105,10,88,train
1106,10,89,test
1107,10,90,test
1108,10,91,test
1109,10,92,test
1110,10,93,test
1111,10,94,train
1112,10,95,test
1113,10,96,test
1114,10,97,train
1115,10,98,train
1116,10,99,test
1117,10,100,test
1118,10,101,test
1119,10,102,test
1120,10,103,test
1121,10,104,test
1122,10,105,test
1123,10,106,train
1124,10,107,test
1125,10,108,test
1126,10,109,test
1127,10,110,test
1128,10,111,train
1129,10,112,test
1130,11,0,test
1131,11,1,test
1132,11,2,train
1133,11,3,test
1134,11,4,train
1135,11,5,test
1136,11,6,train
1137,11,7,test
1138,11,8,test
1139,11,9,test
1140,11,10,test
1141,11,11,train
1142,11,12,test
1143,11,13,test
1144,11,14,train
1145,11,15,train
1146,11,16,test
1147,11,17,train
1148,11,18,train
1149,11,19,test
1150,11,20,train
1151,11,21,train
1152,11,22,train
1153,11,23,train
1154,11,24,test
1155,11,25,train
1156,11,26,train
1157,11,27,test
1158,11,28,test
1159,11,29,test
1160,11,30,test
1161,11,31,train
1162,11,32,train
1163,11,33,test
1164,11,34,train
1165,11,35,test
1166,11,36,test
1167,11,37,train
1168,11,38,train
1169,11,39,test
1170,11,40,train
1171,11,41,train
1172,11,42,test
1173,11,43,test
1174,11,44,test
1175,11,45,train
1176,11,46,test
1177,11,47,test
1178,11,48,test
1179,11,49,test
1180,11,50,test
1181,11,51,train
1182,11,52,train
1183,11,53,train
1184,11,54,test
1185,11,55,train
1186,11,56,test
1187,11,57,test
1188,11,58,test
1189,11,59,test
1190,11,60,test
1191,11,61,train
1192,11,62,test
1193,11,63,test
1194,11,64,test
1195,11,65,test
1196,11,66,test
1197,11,67,test
1198,11,68,train
1199,11,69,test
1200,11,70,test
1201,11,71,test
1202,11,72,train
1203,11,73,test
1204,11,74,test
1205,11,75,train
1206,11,76,train
1207,11,77,test
1208,11,78,test
1209,11,79,test
1210,11,80,test
1211,11,81,test
1212,11,82,test
1213,11,83,test
1214,11,84,test
1215,11,85,test
1216,11,86,train
1217,11,87,test
1218,11,88,test
1219,11,89,test
1220,11,90,test
1221,11,91,train
1222,11,92,test
1223,11,93,test
1224,11,94,train
1225,11,95,test
1226,11,96,test
1227,11,97,train
1228,11,98,test
1229,11,99,test
1230,11,100,test
1231,11,101,train
1232,11,102,test
1233,11,103,test
1234,11,104,test
1235,11,105,test
1236,11,106,train
1237,11,107,test
1238,11,108,test
1239,11,109,train
1240,11,110,train
1241,11,111,test
1242,11,112,test
1243,12,0,train
1244,12,1,test
1245,12,2,test
1246,12,3,test
1247,12,4,train
1248,12,5,test
1249,12,6,train
1250,12,7,train
1251,12,8,test
1252,12,9,train
1253,12,10,train
1254,12,11,test
1255,12,12,train
1256,12,13,train
1257,12,14,test
1258,12,15,train
1259,12,16,test
1260,12,17,test
1261,12,18,test
1262,12,19,test
1263,12,20,test
1264,12,21,test
1265,12,22,train
1266,12,23,test
1267,12,24,test
1268,12,25,test
1269,12,26,test
1270,12,27,train
1271,12,28,train
1272,12,29,test
1273,12,30,train
1274,12,31,test
1275,12,32,test
1276,12,33,test
1277,12,34,test
1278,12,35,test
1279,12,36,test
1280,12,37,test
1281,12,38,train
1282,12,39,train
1283,12,40,test
1284,12,41,test
1285,12,42,test
1286,12,43,test
1287,12,44,train
1288,12,45,test
1289,12,46,test
1290,12,47,test
1291,12,48,test
1292,12,49,test
1293,12,50,test
1294,12,51,test
1295,12,52,test
1296,12,53,test
1297,12,54,train
1298,12,55,test
1299,12,56,test
1300,12,57,train
1301,12,58,train
1302,12,59,test
1303,12,60,train
1304,12,61,test
1305,12,62,test
1306,12,63,train
1307,12,64,test
1308,12,65,test
1309,12,66,test
1310,12,67,train
1311,12,68,test
1312,12,69,test
1313,12,70,test
1314,12,71,test
1315,12,72,test
1316,12,73,test
1317,12,74,test
1318,12,75,test
1319,12,76,test
1320,12,77,test
1321,12,78,test
1322,12,79,train
1323,12,80,test
1324,12,81,test
1325,12,82,test
1326,12,83,test
1327,12,84,test
1328,12,85,test
1329,12,86,train
1330,12,87,test
1331,12,88,test
1332,12,89,train
1333,12,90,train
1334,12,91,test
1335,12,92,test
1336,12,93,test
1337,12,94,test
1338,12,95,test
1339,12,96,train
1340,12,97,train
1341,12,98,test
1342,12,99,test
1343,12,100,test
1344,12,101,test
1345,12,102,train
1346,12,103,train
1347,12,104,train
1348,12,105,test
1349,12,106,test
1350,12,107,test
1351,12,108,test
1352,12,109,train
1353,12,110,test
1354,12,111,test
1355,12,112,train
1356,13,0,test
1357,13,1,train
1358,13,2,test
1359,13,3,test
1360,13,4,train
1361,13,5,train
1362,13,6,test
1363,13,7,test
1364,13,8,train
1365,13,9,test
1366,13,10,test
1367,13,11,test
1368,13,12,train
1369,13,13,test
1370,13,14,test
1371,13,15,test
1372,13,16,test
1373,13,17,test
1374,13,18,test
1375,13,19,test
1376,13,20,test
1377,13,21,train
1378,13,22,train
1379,13,23,train
1380,13,24,test
1381,13,25,test
1382,13,26,test
1383,13,27,train
1384,13,28,train
1385,13,29,test
1386,13,30,test
1387,13,31,test
1388,13,32,test
1389,13,33,test
1390,13,34,test
1391,13,35,test
1392,13,36,test
1393,13,37,train
1394,13,38,train
1395,13,39,test
1396,13,40,train
1397,13,41,test
1398,13,42,test
1399,13,43,test
1400,13,44,train
1401,13,45,train
1402,13,46,test
1403,13,47,test
1404,13,48,test
1405,13,49,train
1406,13,50,test
1407,13,51,test
1408,13,52,train
1409,13,53,train
1410,13,54,test
1411,13,55,test
1412,13,56,test
1413,13,57,train
1414,13,58,train
1415,13,59,test
1416,13,60,test
1417,13,61,test
1418,13,62,train
1419,13,63,test
1420,13,64,test
1421,13,65,test
1422,13,66,test
1423,13,67,test
1424,13,68,test
1425,13,69,test
1426,13,70,train
1427,13,71,train
1428,13,72,train
1429,13,73,test
1430,13,74,test
1431,13,75,test
1432,13,76,test
1433,13,77,test
1434,13,78,train
1435,13,79,test
1436,13,80,test
1437,13,81,test
1438,13,82,test
1439,13,83,test
1440,13,84,test
1441,13,85,test
1442,13,86,test
1443,13,87,test
1444,13,88,test
1445,13,89,train
1446,13,90,test
1447,13,91,train
1448,13,92,test
1449,13,93,train
1450,13,94,test
1451,13,95,test
1452,13,96,train
1453,13,97,test
1454,13,98,train
1455,13,99,train
1456,13,100,test
1457,13,101,test
1458,13,102,test
1459,13,103,train
1460,13,104,test
1461,13,105,test
1462,13,106,test
1463,13,107,test
1464,13,108,test
1465,13,109,test
1466,13,110,test
1467,13,111,test
1468,13,112,test
1469,14,0,test
1470,14,1,train
1471,14,2,train
1472,14,3,test
1473,14,4,test
1474,14,5,test
1475,14,6,test
1476,14,7,test
1477,14,8,test
1478,14,9,test
1479,14,10,test
1480,14,11,test
1481,14,12,test
1482,14,13,train
1483,14,14,train
1484,14,15,train
1485,14,16,test
1486,14,17,test
1487,14,18,test
1488,14,19,test
1489,14,20,test
1490,14,21,train
1491,14,22,train
1492,14,23,train
1493,14,24,test
1494,14,25,test
1495,14,26,train
1496,14,27,test
1497,14,28,test
1498,14,29,test
1499,14,30,test
1500,14,31,train
1501,14,32,test
1502,14,33,test
1503,14,34,test
1504,14,35,train
1505,14,36,test
1506,14,37,test
1507,14,38,test
1508,14,39,test
1509,14,40,test
1510,14,41,train
1511,14,42,test
1512,14,43,test
1513,14,44,test
1514,14,45,test
1515,14,46,test
1516,14,47,test
1517,14,48,train
1518,14,49,train
1519,14,50,test
1520,14,51,train
1521,14,52,train
1522,14,53,test
1523,14,54,test
1524,14,55,test
1525,14,56,test
1526,14,57,test
1527,14,58,test
1528,14,59,test
1529,14,60,test
1530,14,61,test
1531,14,62,test
1532,14,63,train
1533,14,64,test
1534,14,65,test
1535,14,66,test
1536,14,67,train
1537,14,68,train
1538,14,69,test
1539,14,70,test
1540,14,71,test
1541,14,72,test
1542,14,73,test
1543,14,74,test
1544,14,75,test
1545,14,76,test
1546,14,77,test
1547,14,78,train
1548,14,79,test
1549,14,80,train
1550,14,81,train
1551,14,82,test
1552,14,83,test
1553,14,84,train
1554,14,85,test
1555,14,86,test
1556,14,87,test
1557,14,88,test
1558,14,89,test
1559,14,90,test
1560,14,91,test
1561,14,92,test
1562,14,93,test
1563,14,94,train
1564,14,95,test
1565,14,96,test
1566,14,97,train
1567,14,98,train
1568,14,99,train
1569,14,100,test
1570,14,101,train
1571,14,102,test
1572,14,103,test
1573,14,104,train
1574,14,105,test
1575,14,106,test
1576,14,107,train
1577,14,108,test
1578,14,109,test
1579,14,110,train
1580,14,111,test
1581,14,112,test
1582,15,0,test
1583,15,1,test
1584,15,2,test
1585,15,3,test
1586,15,4,test
1587,15,5,test
1588,15,6,test
1589,15,7,test
1590,15,8,test
1591,15,9,test
1592,15,10,test
1593,15,11,test
1594,15,12,train
1595,15,13,test
1596,15,14,test
1597,15,15,test
1598,15,16,test
1599,15,17,test
1600,15,18,test
1601,15,19,train
1602,15,20,test
1603,15,21,test
1604,15,22,test
1605,15,23,train
1606,15,24,test
1607,15,25,train
1608,15,26,test
1609,15,27,test
1610,15,28,train
1611,15,29,test
1612,15,30,test
1613,15,31,train
1614,15,32,train
1615,15,33,test
1616,15,34,train
1617,15,35,test
1618,15,36,train
1619,15,37,train
1620,15,38,train
1621,15,39,train
1622,15,40,test
1623,15,41,test
1624,15,42,test
1625,15,43,test
1626,15,44,train
1627,15,45,test
1628,15,46,test
1629,15,47,test
1630,15,48,test
1631,15,49,test
1632,15,50,test
1633,15,51,test
1634,15,52,train
1635,15,53,test
1636,15,54,train
1637,15,55,test
1638,15,56,test
1639,15,57,test
1640,15,58,test
1641,15,59,test
1642,15,60,test
1643,15,61,test
1644,15,62,test
1645,15,63,test
1646,15,64,test
1647,15,65,test
1648,15,66,test
1649,15,67,train
1650,15,68,train
1651,15,69,train
1652,15,70,test
1653,15,71,test
1654,15,72,test
1655,15,73,test
1656,15,74,test
1657,15,75,test
1658,15,76,train
1659,15,77,test
1660,15,78,test
1661,15,79,test
1662,15,80,train
1663,15,81,test
